iShares Russell 2000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,4-Nov-25,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"278,650,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,"666,346,448.75",0.98,"666,346,448.75","5,163,475.00",129.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,"585,105,998.29",0.86,"585,105,998.29","3,562,723.00",164.23,United States,NASDAQ,USD,1,USD,-
FN,FABRINET,Information Technology,Equity,"399,619,442.40",0.59,"399,619,442.40","869,494.00",459.6,United States,New York Stock Exchange Inc.,USD,1,USD,-
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,"361,934,220.70",0.53,"361,934,220.70","4,011,685.00",90.22,United States,NASDAQ,USD,1,USD,-
IONQ,IONQ INC,Information Technology,Equity,"355,107,834.38",0.52,"355,107,834.38","6,652,451.00",53.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
NXT,NEXTRACKER INC CLASS A,Industrials,Equity,"350,393,684.67",0.52,"350,393,684.67","3,510,607.00",99.81,United States,NASDAQ,USD,1,USD,-
OKLO,OKLO INC CLASS A,Utilities,Equity,"293,503,222.62",0.43,"293,503,222.62","2,615,194.00",112.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
GH,GUARDANT HEALTH INC,Health Care,Equity,"281,838,648.28",0.42,"281,838,648.28","2,871,802.00",98.14,United States,NASDAQ,USD,1,USD,-
AVAV,AEROVIRONMENT INC,Industrials,Equity,"280,266,804.88",0.41,"280,266,804.88","767,686.00",365.08,United States,NASDAQ,USD,1,USD,-
STRL,STERLING INFRASTRUCTURE INC,Industrials,Equity,"274,802,326.42",0.41,"274,802,326.42","718,306.00",382.57,United States,NASDAQ,USD,1,USD,-
RGTI,RIGETTI COMPUTING INC,Information Technology,Equity,"270,310,947.72",0.4,"270,310,947.72","7,683,654.00",35.18,United States,NASDAQ,USD,1,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,"260,733,385.44",0.38,"260,733,385.44","2,599,017.00",100.32,United States,NASDAQ,USD,1,USD,-
ENSG,ENSIGN GROUP INC,Health Care,Equity,"248,653,753.48",0.37,"248,653,753.48","1,351,526.00",183.98,United States,NASDAQ,USD,1,USD,-
